nist_csf_subcategory,nist_csf_function,nist_csf_function_name,nist_csf_category,nist_csf_category_name,nist_csf_category_name_and_code,800-53_name,800-53_title,800-53_family,800-53_extended_description
ID.AM-1: Physical devices and systems within the organization are inventoried,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CM-8,Information System Component Inventory,Configuration Management,"['The organization:', 'CM-8a.: Develops and documents an inventory of information system components that:', 'CM-8a.1.: Accurately reflects the current information system;', 'CM-8a.2.: Includes all components within the authorization boundary of the information system;', 'CM-8a.3.: Is at the level of granularity deemed necessary for tracking and reporting; and', 'CM-8a.4.: Includes [Assignment: organization-defined information deemed necessary to achieve effective information system component accountability]; and', 'The organization updates the inventory of information system components as an integral part of component installations, removals, and information system updates.', 'The organization employs automated mechanisms to help maintain an up-to-date, complete, accurate, and readily available inventory of information system components.', 'The organization:', 'CM-8 (3)(a): Employs automated mechanisms [Assignment: organization-defined frequency] to detect the presence of unauthorized hardware, software, and firmware components within the information system; and', 'CM-8 (3)(b): Takes the following actions when unauthorized components are detected: [Selection (one or more): disables network access by such components; isolates the components; notifies [Assignment: organization-defined personnel or roles]].', 'The organization includes in the information system component inventory information, a means for identifying by [Selection (one or more): name; position; role], individuals responsible/accountable for administering those components.', 'The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system component inventories.', 'The organization includes assessed component configurations and any approved deviations to current deployed configurations in the information system component inventory.', 'The organization provides a centralized repository for the inventory of information system components.', 'The organization employs automated mechanisms to support tracking of information system components by geographic location.', 'The organization:', 'CM-8 (9)(a): Assigns [Assignment: organization-defined acquired information system components] to an information system; and', 'CM-8 (9)(b): Receives an acknowledgement from the information system owner of this assignment.']"
ID.AM-1: Physical devices and systems within the organization are inventoried,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),PM-5,Information System Inventory,Program Management,['The organization develops and maintains an inventory of its information systems.']
ID.AM-2: Software platforms and applications within the organization are inventoried,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CM-8,Information System Component Inventory,Configuration Management,"['The organization:', 'CM-8a.: Develops and documents an inventory of information system components that:', 'CM-8a.1.: Accurately reflects the current information system;', 'CM-8a.2.: Includes all components within the authorization boundary of the information system;', 'CM-8a.3.: Is at the level of granularity deemed necessary for tracking and reporting; and', 'CM-8a.4.: Includes [Assignment: organization-defined information deemed necessary to achieve effective information system component accountability]; and', 'The organization updates the inventory of information system components as an integral part of component installations, removals, and information system updates.', 'The organization employs automated mechanisms to help maintain an up-to-date, complete, accurate, and readily available inventory of information system components.', 'The organization:', 'CM-8 (3)(a): Employs automated mechanisms [Assignment: organization-defined frequency] to detect the presence of unauthorized hardware, software, and firmware components within the information system; and', 'CM-8 (3)(b): Takes the following actions when unauthorized components are detected: [Selection (one or more): disables network access by such components; isolates the components; notifies [Assignment: organization-defined personnel or roles]].', 'The organization includes in the information system component inventory information, a means for identifying by [Selection (one or more): name; position; role], individuals responsible/accountable for administering those components.', 'The organization verifies that all components within the authorization boundary of the information system are not duplicated in other information system component inventories.', 'The organization includes assessed component configurations and any approved deviations to current deployed configurations in the information system component inventory.', 'The organization provides a centralized repository for the inventory of information system components.', 'The organization employs automated mechanisms to support tracking of information system components by geographic location.', 'The organization:', 'CM-8 (9)(a): Assigns [Assignment: organization-defined acquired information system components] to an information system; and', 'CM-8 (9)(b): Receives an acknowledgement from the information system owner of this assignment.']"
ID.AM-2: Software platforms and applications within the organization are inventoried,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),PM-5,Information System Inventory,Program Management,['The organization develops and maintains an inventory of its information systems.']
ID.AM-3: Organizational communication and data flows are mapped,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),AC-4,Information Flow Enforcement,Access Control,"['The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].', 'The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.', 'The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.', 'The information system enforces dynamic information flow control based on [Assignment: organization-defined policies].', 'The information system prevents encrypted information from bypassing content-checking mechanisms by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]].', 'The information system enforces [Assignment: organization-defined limitations] on embedding data types within other data types.', 'The information system enforces information flow control based on [Assignment: organization-defined metadata].', 'The information system enforces [Assignment: organization-defined one-way information flows] using hardware mechanisms.', 'The information system enforces information flow control using [Assignment: organization-defined security policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows].', 'The information system enforces the use of human reviews for [Assignment: organization-defined information flows] under the following conditions: [Assignment: organization-defined conditions].', 'The information system provides the capability for privileged administrators to enable/disable [Assignment: organization-defined security policy filters] under the following conditions: [Assignment: organization-defined conditions].', 'The information system provides the capability for privileged administrators to configure [Assignment: organization-defined security policy filters] to support different security policies.', 'The information system, when transferring information between different security domains, uses [Assignment: organization-defined data type identifiers] to validate data essential for information flow decisions.', 'The information system, when transferring information between different security domains, decomposes information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.', 'The information system, when transferring information between different security domains, implements [Assignment: organization-defined security policy filters] requiring fully enumerated formats that restrict data structure and content.', 'The information system, when transferring information between different security domains, examines the information for the presence of [Assignment: organized-defined unsanctioned information] and prohibits the transfer of such information in accordance with the [Assignment: organization-defined security policy].', '[Withdrawn: Incorporated into AC-4].', 'The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization, system, application, individual] for information transfer.', 'The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.', 'The information system, when transferring information between different security domains, applies the same security policy filtering to metadata as it applies to data payloads.', 'The organization employs [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment: organization-defined information] across security domains.', 'The information system separates information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].', 'The information system provides access from a single device to computing platforms, applications, or data residing on multiple different security domains, while preventing any information flow between the different security domains.']"
ID.AM-3: Organizational communication and data flows are mapped,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CA-3,System Interconnections,Security Assessment And Authorization,"['The organization:', 'CA-3a.: Authorizes connections from the information system to other information systems through the use of Interconnection Security Agreements;', 'The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, national security system] to an external network without the use of [Assignment: organization-defined boundary protection device].', 'The organization prohibits the direct connection of a classified, national security system to an external network without the use of [Assignment: organization-defined boundary protection device].', 'The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, non-national security system] to an external network without the use of [Assignment; organization-defined boundary protection device].', 'The organization prohibits the direct connection of an [Assignment: organization-defined information system] to a public network.', 'The organization employs [Selection: allow-all, deny-by-exception; deny-all, permit-by-exception] policy for allowing [Assignment: organization-defined information systems] to connect to external information systems.']"
ID.AM-3: Organizational communication and data flows are mapped,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),CA-9,Internal System Connections,Security Assessment And Authorization,"['The organization:', 'CA-9a.: Authorizes internal connections of [Assignment: organization-defined information system components or classes of components] to the information system; and', 'The information system performs security compliance checks on constituent system components prior to the establishment of the internal connection.']"
ID.AM-3: Organizational communication and data flows are mapped,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),PL-8,Information Security Architecture,Planning,"['The organization:', 'PL-8a.: Develops an information security architecture for the information system that:', 'PL-8a.1.: Describes the overall philosophy, requirements, and approach to be taken with regard to protecting the confidentiality, integrity, and availability of organizational information;', 'PL-8a.2.: Describes how the information security architecture is integrated into and supports the enterprise architecture; and', 'PL-8a.3.: Describes any information security assumptions about, and dependencies on, external services;', 'The organization designs its security architecture using a defense-in-depth approach that:', 'PL-8 (1)(a): Allocates [Assignment: organization-defined security safeguards] to [Assignment: organization-defined locations and architectural layers]; and', 'PL-8 (1)(b): Ensures that the allocated security safeguards operate in a coordinated and mutually reinforcing manner.', 'The organization requires that [Assignment: organization-defined security safeguards] allocated to [Assignment: organization-defined locations and architectural layers] are obtained from different suppliers.']"
ID.AM-4: External information systems are catalogued,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),AC-20,Use Of External Information Systems,Access Control,"['The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to:', 'AC-20a.: Access the information system from external information systems; and', 'The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization:', ""AC-20 (1)(a): Verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan; or"", 'AC-20 (1)(b): Retains approved information system connection or processing agreements with the organizational entity hosting the external information system.', 'The organization [Selection: restricts; prohibits] the use of organization-controlled portable storage devices by authorized individuals on external information systems.', 'The organization [Selection: restricts; prohibits] the use of non-organizationally owned information systems, system components, or devices to process, store, or transmit organizational information.', 'The organization prohibits the use of [Assignment: organization-defined network accessible storage devices] in external information systems.']"
ID.AM-4: External information systems are catalogued,Identify (ID),Identify,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,Asset Management (ID.AM),SA-9,External Information System Services,System And Services Acquisition,"['The organization:', 'SA-9a.: Requires that providers of external information system services comply with organizational information security requirements and employ [Assignment: organization-defined security controls] in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance;', 'The organization:', 'SA-9 (1)(a): Conducts an organizational assessment of risk prior to the acquisition or outsourcing of dedicated information security services; and', 'SA-9 (1)(b): Ensures that the acquisition or outsourcing of dedicated information security services is approved by [Assignment: organization-defined personnel or roles].', 'The organization requires providers of [Assignment: organization-defined external information system services] to identify the functions, ports, protocols, and other services required for the use of such services.', 'The organization establishes, documents, and maintains trust relationships with external service providers based on [Assignment: organization-defined security requirements, properties, factors, or conditions defining acceptable trust relationships].', 'The organization employs [Assignment: organization-defined security safeguards] to ensure that the interests of [Assignment: organization-defined external service providers] are consistent with and reflect organizational interests.', 'The organization restricts the location of [Selection (one or more): information processing; information/data; information system services] to [Assignment: organization-defined locations] based on [Assignment: organization-defined requirements or conditions].']"
