Subcategory,Control,subcategory_code,subcategory_description,function_code,function,function_name,category_code,Category,category_name,category_description,category_name_and_code
ID.AM-1: Physical devices and systems within the organization are inventoried,CM-8,ID.AM-1,Physical devices and systems within the organization are inventoried,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-1: Physical devices and systems within the organization are inventoried,PM-5,ID.AM-1,Physical devices and systems within the organization are inventoried,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-2: Software platforms and applications within the organization are inventoried,CM-8,ID.AM-2,Software platforms and applications within the organization are inventoried,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-2: Software platforms and applications within the organization are inventoried,PM-5,ID.AM-2,Software platforms and applications within the organization are inventoried,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-3: Organizational communication and data flows are mapped,AC-4,ID.AM-3,Organizational communication and data flows are mapped,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-3: Organizational communication and data flows are mapped,CA-3,ID.AM-3,Organizational communication and data flows are mapped,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-3: Organizational communication and data flows are mapped,CA-9,ID.AM-3,Organizational communication and data flows are mapped,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-3: Organizational communication and data flows are mapped,PL-8,ID.AM-3,Organizational communication and data flows are mapped,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-4: External information systems are catalogued,AC-20,ID.AM-4,External information systems are catalogued,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
ID.AM-4: External information systems are catalogued,SA-9,ID.AM-4,External information systems are catalogued,ID,Identify (ID),Identify,ID.AM,"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Asset Management (ID.AM)
